Formula,Structure type,Stoichiometry_A,Stoichiometry_B,Electronegativity difference (Pauling scale),Electronegativity difference (Martynov-Batsanov scale),Electronegativity difference (Gordy scale),Electronegativity difference (Mulliken scale),Electronegativity difference (Allred-Rochow scale),Mean electronegativity (Pauling scale),Mean electronegativity (Martynov-Batsanov scale),Mean electronegativity (Gordy scale),Mean electronegativity (Mulliken scale),Mean electronegativity (Allred-Rochow scale),Ionic character (Pauling scale),Ionic character (Martynov-Batsanov scale),Ionic character (Gordy scale),Ionic character (Mulliken scale),Ionic character (Allred-Rochow scale),Sum of valence electrons,Mean number of electrons,Atomic number sum,Atomic number difference,Mean atomic number,Atomic weight sum,Atomic weight difference,Mean atomic weight,Atomic radius sum,Mean atomic radius,Atomic radius ratio,2 x atomic radius difference,Covalent radius sum,Mean Covalent radius,Covalent radius ratio,2 x covalent radius difference,Zunger radius sum,Mean Zunger radius sum,Zunger radius sum ratio,2 x Zunger radius sum difference,Zunger radius sum difference,Ionic radius sum,Mean ionic radius,Ionic radius ratio,2 x Ionic radius difference,Crystal radius sum,Mean crystal radius,Crystal radius ratio,2 x Crystal radius difference,Period number sum,Mean period number,Period number difference,Group number sum,Mean group number,Group number difference,Family number sum,Mean family number,Family number difference,Quantum number (l) sum,Mean quantum number (l) mean,Quantum number (l) difference
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
CePt,TlI,1,1,-1.16,-0.81,-3.1474,-2.5,-0.63,4.35,1.505,6.1471,4.35,1.405,0.285662686,0.151279196,0.915965823,0.790388613,0.094461061,13,6.5,136,-20,68,335.195,-54.965,167.5975,3.2,1.6,1.37037037,6.4,2.95,1.475,1.269230769,5.9,7.2,3.6,1.666666667,3.6,1.8,3.2,1.6,1.37037037,1,1.89,0.945,1.554054054,0.82,12,6,0,13,6.5,-7,7,3.5,-1,5,2.5,1
