Formula,Structure type,Stoichiometry_A,Stoichiometry_B,Electronegativity difference (Pauling scale),Electronegativity difference (Martynov-Batsanov scale),Electronegativity difference (Gordy scale),Electronegativity difference (Mulliken scale),Electronegativity difference (Allred-Rochow scale),Mean electronegativity (Pauling scale),Mean electronegativity (Martynov-Batsanov scale),Mean electronegativity (Gordy scale),Mean electronegativity (Mulliken scale),Mean electronegativity (Allred-Rochow scale),Ionic character (Martynov-Batsanov scale),Sum of valence electrons,Atomic number sum,Atomic weight sum,Atomic radius sum,Atomic radius ratio,Covalent radius sum,Covalent radius ratio,2 x covalent radius difference,Zunger radius sum ratio,2 x Zunger radius sum difference,Zunger radius sum difference,Ionic radius ratio,2 x Ionic radius difference,Crystal radius sum,Crystal radius ratio,2 x Crystal radius difference,Period number difference,Group number sum,Group number difference,Family number sum,Quantum number (l) sum,Quantum number (l) difference
CeRh,TlI,1,1,-1.16,-0.89,0.8472,-1.2,-0.47,3.7,1.545,4.1498,3.7,1.325,0.179650656,12,103,243.0205,3.2,1.37037037,2.9,1.32,5.8,1.785714286,3.96,1.98,1.37037037,1,1.96,1.419753086,0.68,1,12,-6,7,5,1
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.043141733,12,117,290.9713,3.15,1.333333333,2.81,1.422413793,5.62,2.465346535,5.92,2.96,1.333333333,0.9,1.73,2.203703704,1.3,3,12,-6,7,4,0
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.043141733,12,117,290.9713,3.15,1.333333333,2.81,1.422413793,5.62,2.465346535,5.92,2.96,1.333333333,0.9,1.73,2.203703704,1.3,3,12,-6,7,4,0
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.043141733,12,117,290.9713,3.15,1.333333333,2.81,1.422413793,5.62,2.465346535,5.92,2.96,1.333333333,0.9,1.73,2.203703704,1.3,3,12,-6,7,4,0
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.043141733,12,117,290.9713,3.15,1.333333333,2.81,1.422413793,5.62,2.465346535,5.92,2.96,1.333333333,0.9,1.73,2.203703704,1.3,3,12,-6,7,4,0
CoTh,TlI,1,1,-0.58,-0.42,-0.6192,-1.1,-0.73,3.75,1.51,3.188,3.75,1.475,0.043141733,12,117,290.9713,3.15,1.333333333,2.81,1.422413793,5.62,2.465346535,5.92,2.96,1.333333333,0.9,1.73,2.203703704,1.3,3,12,-6,7,4,0
CoY,TlI,1,1,-0.66,-0.31,-0.0933,-1.11,-0.72,3.745,1.565,3.45095,3.745,1.48,0.023738697,12,66,147.83905,3.15,1.333333333,2.78,1.396551724,5.56,1.455445545,1.84,0.92,1.37037037,1,1.58,1.925925926,1,1,12,-6,7,4,0
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
DyGa,TlI,1,1,-0.59,-0.55,1.2042,-0.1,-0.666,3.15,1.425,4.7693,3.15,1.423,0.072836172,6,97,232.223,3.05,1.346153846,2.85,1.261904762,5.7,2.16519174,3.95,1.975,1.346153846,0.9,1.81,1.381578947,0.58,2,16,-10,8,4,2
