,Component_1 (18.058%),Component_2 (7.428%),Component_3 (9.389%),Component_4 (4.083%),Component_5 (3.959%),Component_6 (2.898%),Component_7 (3.207%),Component_8 (1.371%),Component_9 (2.111%)
dev_Melting_point_(K),-0.012,-0.017,0.02,-0.006,-0.085,-0.165,0.06,0.065,0.008
dev_Boiling_Point_(K),0.044,0.101,-0.036,-0.041,-0.011,0.038,0.083,0.068,-0.05
dev_Density_(g/mL),0.078,-0.016,0.018,-0.004,0.017,0.035,0.092,0.069,0.01
dev_specific_heat_(J/g_K)_,0.023,0.004,-0.027,-0.008,0.134,0.083,-0.054,0.076,0.069
dev_heat_of_fusion_(kJ/mol)_,-0.008,0.0,-0.063,-0.034,0.139,0.054,0.054,-0.048,-0.014
dev_heat_of_vaporization_(kJ/mol)_,0.008,0.058,-0.018,0.0,-0.09,0.01,0.124,-0.003,0.015
dev_thermal_conductivity_(W/(m_K))_,0.035,0.025,-0.009,-0.065,0.134,0.113,-0.075,0.024,-0.032
dev_heat_atomization(kJ/mol),0.065,0.098,-0.013,-0.035,-0.027,-0.046,0.155,-0.005,0.057
dev_Cohesive_energy,0.066,0.102,-0.015,-0.044,-0.022,-0.042,0.14,0.013,0.04
range_Atomic_Number,-0.006,-0.029,0.048,-0.019,0.104,0.044,0.008,0.081,0.141
range_Atomic_Weight,-0.007,-0.035,0.056,-0.014,0.095,0.043,0.009,0.077,0.149
range_Period,-0.031,-0.023,0.038,0.026,0.104,0.007,0.035,0.018,0.146
range_group,-0.062,0.101,0.005,0.082,0.008,-0.005,0.03,0.054,-0.052
range_families,-0.07,0.075,-0.053,0.041,0.044,0.052,0.014,0.128,-0.113
range_Metal,-0.067,-0.024,-0.068,0.045,0.012,0.079,0.078,0.004,-0.032
range_Nonmetal,-0.043,-0.003,-0.065,0.116,-0.055,0.089,0.036,-0.015,0.002
range_Metalliod,-0.036,-0.033,-0.001,-0.117,0.106,-0.021,0.063,0.03,-0.053
range_Mendeleev_Number,-0.064,0.068,0.029,0.08,0.007,0.028,0.012,0.002,-0.09
range_l_quantum_number,-0.044,0.121,-0.043,0.001,0.048,-0.012,-0.017,0.193,-0.086
