,Component_1 (11.504%),Component_2 (2.819%),Component_3 (4.789%),Component_4 (2.909%),Component_5 (2.246%),Component_6 (4.423%),Component_7 (2.170%),Component_8 (1.442%),Component_9 (2.366%)
sum_150,0.055,-0.007,-0.023,0.029,-0.011,0.021,0.007,0.024,-0.004
sum_151,0.046,-0.002,-0.033,0.013,-0.028,0.003,0.019,0.013,0.007
sum_152,0.008,-0.016,-0.02,0.034,0.039,-0.024,0.016,0.029,0.013
sum_153,-0.017,-0.009,-0.038,-0.0,-0.032,-0.034,0.006,-0.015,-0.0
sum_154,-0.011,0.005,-0.037,0.007,-0.004,-0.04,-0.032,0.004,-0.002
sum_155,0.054,0.008,-0.014,0.062,0.002,-0.007,0.003,-0.004,-0.002
sum_156,-0.013,0.019,0.046,-0.032,-0.033,-0.004,0.026,-0.009,-0.004
sum_157,0.03,-0.036,-0.004,0.01,0.041,0.009,-0.002,0.015,0.005
sum_158,0.013,-0.028,0.003,-0.06,-0.01,0.031,0.025,-0.005,0.028
sum_159,0.033,0.0,0.026,-0.009,-0.027,0.014,0.03,0.033,0.01
sum_160,-0.016,0.016,-0.028,0.008,-0.029,0.015,0.017,0.046,0.045
sum_161,-0.004,0.003,-0.002,0.022,0.008,0.05,0.035,0.005,0.04
sum_162,-0.032,0.015,-0.03,0.026,-0.012,0.013,-0.006,-0.022,-0.03
sum_163,-0.035,-0.017,0.019,-0.02,0.045,-0.013,-0.002,0.013,-0.041
sum_164,0.042,-0.016,0.007,0.005,0.015,0.003,-0.044,0.025,0.021
sum_165,-0.03,0.011,0.018,-0.006,-0.018,0.019,0.035,-0.011,-0.03
sum_166,-0.052,-0.01,-0.001,-0.032,0.04,-0.001,0.054,-0.036,-0.001
sum_167,0.004,0.022,-0.012,0.016,-0.044,-0.019,-0.071,-0.005,-0.018
sum_168,-0.013,-0.047,-0.001,-0.013,0.045,0.026,-0.047,0.064,-0.013
sum_169,0.034,-0.004,0.026,0.013,-0.014,0.043,-0.002,-0.002,-0.056
sum_170,-0.011,0.023,-0.012,-0.039,-0.04,0.005,0.033,-0.027,0.03
sum_171,0.023,-0.017,-0.041,0.007,-0.013,-0.026,0.004,-0.015,0.016
sum_172,0.022,-0.002,0.008,-0.005,-0.012,0.006,-0.018,0.051,-0.033
sum_173,0.044,-0.003,-0.011,0.044,0.013,0.016,0.02,0.021,0.031
sum_174,-0.054,0.025,0.008,0.031,0.015,-0.01,0.012,-0.012,0.006
sum_175,-0.041,-0.022,-0.031,0.002,-0.011,0.06,-0.015,-0.025,-0.006
sum_176,-0.001,0.004,-0.025,0.002,0.016,-0.046,0.024,0.036,0.072
sum_177,0.02,0.01,-0.005,0.02,0.051,-0.038,-0.014,-0.012,0.003
sum_178,0.043,-0.037,-0.01,-0.008,0.009,-0.003,-0.036,-0.007,-0.001
sum_179,-0.01,-0.025,-0.008,0.024,0.068,-0.009,-0.038,0.035,0.016
sum_180,0.009,-0.014,0.005,-0.024,-0.011,-0.037,-0.043,0.036,0.027
sum_181,-0.023,-0.001,0.034,0.024,0.027,-0.005,-0.054,-0.013,0.011
sum_182,-0.006,0.012,-0.041,0.023,0.038,-0.06,0.031,-0.036,0.033
sum_183,-0.044,-0.009,-0.012,0.03,0.045,-0.005,0.027,-0.012,0.004
sum_184,0.049,-0.007,0.011,-0.034,-0.015,-0.017,-0.007,0.015,0.007
sum_185,0.011,-0.009,0.003,-0.021,-0.014,0.019,0.02,-0.039,0.053
sum_186,-0.059,0.017,0.011,0.002,-0.019,0.002,0.002,0.011,0.029
sum_187,0.005,0.014,0.04,-0.038,-0.019,-0.014,0.039,-0.026,0.011
sum_188,-0.029,0.021,-0.01,0.008,0.001,0.001,0.042,0.001,0.016
sum_189,-0.004,-0.034,-0.034,-0.026,0.054,-0.0,0.034,-0.03,-0.038
sum_190,0.002,-0.006,-0.038,0.03,0.022,0.002,-0.013,0.041,0.042
sum_191,-0.05,0.011,0.005,0.027,0.016,0.023,0.025,-0.011,0.012
sum_192,0.031,-0.022,0.023,-0.032,-0.019,-0.007,-0.03,-0.038,-0.021
sum_193,-0.042,0.018,0.038,-0.003,-0.001,0.015,-0.037,-0.01,-0.01
sum_194,-0.022,0.003,0.011,-0.018,0.021,-0.061,-0.026,-0.001,0.009
sum_195,-0.012,-0.015,-0.001,0.007,0.033,0.072,0.031,-0.001,0.011
sum_196,-0.017,-0.034,-0.042,-0.042,0.014,-0.021,0.016,0.033,0.022
sum_197,-0.014,0.031,-0.03,0.04,-0.004,0.003,-0.002,0.002,0.04
sum_198,0.028,0.03,-0.016,0.058,0.015,-0.007,-0.029,0.027,0.029
sum_199,0.031,0.003,-0.024,0.051,-0.011,-0.001,-0.024,0.021,-0.032
avg_0,0.043,0.02,-0.02,0.008,-0.028,-0.023,0.002,-0.022,-0.052
avg_1,-0.003,-0.007,-0.053,0.014,-0.014,-0.002,0.025,-0.038,-0.029
avg_2,0.019,-0.01,-0.024,-0.01,-0.024,-0.005,-0.062,0.014,-0.017
avg_3,0.052,0.01,-0.022,0.024,-0.008,-0.05,-0.001,-0.009,0.023
avg_4,-0.017,0.038,0.01,0.043,-0.024,0.031,-0.029,-0.011,-0.037
avg_5,-0.015,-0.012,-0.02,0.002,0.016,-0.046,0.006,-0.035,-0.017
avg_6,0.024,-0.022,-0.026,-0.017,0.024,-0.047,-0.015,-0.03,0.006
avg_7,0.0,-0.005,0.018,-0.016,-0.051,0.014,-0.026,0.033,0.038
avg_8,-0.03,0.035,0.014,0.017,0.038,-0.007,-0.0,-0.029,-0.022
avg_9,-0.027,0.0,-0.049,0.017,0.004,-0.035,0.005,0.026,-0.017
avg_10,-0.019,-0.01,-0.019,-0.012,-0.048,-0.009,-0.058,-0.002,0.027
avg_11,-0.001,-0.017,-0.042,0.011,-0.019,0.033,0.015,0.019,0.033
avg_12,-0.021,0.024,0.041,-0.017,0.002,-0.022,-0.019,0.014,0.021
avg_13,-0.018,0.022,0.005,0.001,-0.05,0.009,0.029,-0.032,-0.035
avg_14,-0.025,0.032,0.022,-0.0,0.001,0.023,0.042,-0.024,0.016
avg_15,0.021,0.045,0.027,0.033,0.018,-0.019,0.021,-0.059,-0.011
avg_16,-0.024,0.034,0.019,-0.008,0.017,-0.045,-0.019,0.005,0.003
avg_17,0.002,-0.002,-0.002,-0.009,0.004,0.007,0.037,0.001,0.071
avg_18,-0.033,-0.008,-0.019,-0.037,-0.001,-0.054,-0.0,-0.056,-0.037
avg_19,-0.041,0.019,0.006,0.014,0.038,0.018,0.021,0.012,0.036
avg_20,-0.013,0.03,-0.001,-0.006,-0.005,-0.062,0.017,-0.041,-0.007
avg_21,0.023,0.035,-0.021,-0.01,-0.063,-0.026,-0.017,-0.044,0.023
avg_22,0.028,0.025,0.031,0.021,0.015,-0.03,-0.01,0.005,0.057
avg_23,0.01,-0.051,-0.04,-0.019,0.023,-0.031,-0.009,-0.008,-0.011
avg_24,0.047,0.018,0.029,0.02,-0.005,-0.006,-0.033,0.059,-0.012
avg_25,-0.004,0.025,-0.0,0.02,-0.025,0.022,0.025,-0.002,-0.039
avg_26,-0.016,-0.006,0.013,0.023,0.058,-0.001,0.028,0.027,-0.03
