,Component_1 (16.003%),Component_2 (8.875%),Component_3 (6.903%),Component_4 (3.115%),Component_5 (7.375%),Component_6 (3.705%),Component_7 (2.497%),Component_8 (2.090%),Component_9 (0.824%),Component_10 (2.512%)
range_NpValence,0.105,-0.02,-0.083,-0.139,-0.063,0.012,-0.042,-0.111,-0.008,0.157
range_NdValence,0.0,-0.108,0.058,-0.185,-0.127,0.013,-0.066,0.045,0.001,-0.085
range_NfValence,-0.005,-0.021,0.072,0.032,-0.079,0.228,-0.026,-0.088,0.09,-0.059
range_NValence,-0.034,0.018,0.099,-0.087,-0.018,-0.03,-0.114,0.101,0.028,0.246
range_NsUnfilled,-0.117,-0.044,0.058,-0.003,0.055,0.058,0.011,0.027,0.052,0.153
range_NpUnfilled,0.063,-0.083,-0.162,-0.024,-0.101,0.063,-0.11,0.176,0.166,-0.004
range_NdUnfilled,-0.026,-0.044,0.024,-0.021,-0.025,-0.145,0.068,0.112,-0.027,0.032
range_NfUnfilled,0.066,-0.088,0.017,0.099,-0.028,-0.042,0.127,-0.025,0.056,0.138
range_NUnfilled,0.037,-0.081,0.033,0.076,0.013,-0.088,0.198,-0.004,-0.004,0.097
range_GSvolume_pa,0.031,0.291,0.247,-0.069,-0.01,-0.054,-0.09,0.246,0.039,-0.056
range_GSbandgap,-0.019,0.096,-0.047,-0.006,-0.135,-0.005,-0.022,-0.073,0.083,0.032
range_GSmagmom,-0.101,0.079,-0.026,-0.131,-0.068,-0.002,0.028,0.015,-0.003,-0.011
range_SpaceGroupNumber,0.077,-0.025,-0.006,-0.012,-0.031,0.206,0.111,0.198,-0.096,-0.065
max_Number,0.045,-0.006,0.125,0.106,0.031,0.083,-0.08,0.001,0.07,0.068
max_MendeleevNumber,0.132,0.008,-0.082,-0.128,-0.038,0.028,-0.037,-0.076,0.007,0.125
max_AtomicWeight,0.046,0.0,0.131,0.096,0.026,0.089,-0.072,-0.006,0.054,0.082
max_MeltingT,-0.168,-0.076,0.005,-0.008,-0.063,0.101,-0.005,-0.026,-0.196,0.099
max_Column,0.132,0.019,-0.087,-0.125,-0.058,0.039,-0.033,-0.072,-0.006,0.129
max_Row,0.071,-0.009,0.131,0.104,-0.0,0.057,-0.045,0.005,0.082,0.065
max_CovalentRadius,0.087,-0.017,0.14,0.01,-0.081,-0.014,0.012,-0.025,-0.022,-0.023
max_Electronegativity,-0.079,-0.039,0.073,-0.051,0.104,0.015,0.005,-0.068,0.063,0.098
max_NsValence,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
max_NpValence,0.129,0.025,-0.067,-0.13,-0.027,0.006,-0.017,-0.134,-0.014,0.137
max_NdValence,0.027,-0.048,0.044,-0.199,0.047,0.051,-0.009,0.098,-0.001,-0.002
max_NfValence,-0.023,-0.044,0.077,0.04,-0.052,0.197,-0.06,-0.104,0.037,-0.064
max_NValence,-0.0,-0.01,0.09,-0.074,0.052,0.11,-0.096,-0.002,0.0,0.12
max_NsUnfilled,-0.117,-0.044,0.058,-0.003,0.055,0.058,0.011,0.027,0.052,0.153
max_NpUnfilled,0.114,0.004,-0.131,-0.025,-0.044,0.058,-0.056,0.11,0.125,-0.006
