,Component_1 (24.982%),Component_2 (7.833%),Component_3 (3.916%),Component_4 (6.497%),Component_5 (2.502%),Component_6 (2.771%),Component_7 (1.387%),Component_8 (2.172%),Component_9 (1.739%),Component_10 (1.422%)
min_nsvalence,-0.016,-0.019,-0.005,0.008,-0.034,-0.007,-0.005,-0.015,-0.0,-0.033
min_op_eg,0.005,-0.021,0.015,0.019,-0.043,-0.021,-0.034,-0.038,-0.049,-0.058
min_oq_bg,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
min_oq_enp,-0.027,0.002,-0.009,-0.01,0.015,0.017,-0.013,-0.022,-0.014,0.027
min_polzbl,0.009,0.044,-0.006,0.001,-0.011,0.002,-0.026,0.017,0.04,-0.006
min_polzbl_add_X,0.01,0.043,-0.002,0.0,-0.006,0.005,-0.018,0.013,0.044,-0.011
min_polzbl_add_atom_mass,-0.005,0.029,0.022,0.004,0.008,-0.014,0.005,-0.006,0.035,-0.009
min_polzbl_add_atom_rad,0.009,0.045,-0.005,0.002,-0.007,0.005,-0.02,0.015,0.041,-0.01
min_polzbl_add_bp,0.017,-0.025,0.027,-0.014,-0.001,0.024,-0.009,0.001,0.025,-0.016
min_polzbl_add_elec_aff,0.013,0.037,0.001,-0.004,-0.004,0.003,-0.019,0.006,0.048,-0.003
min_polzbl_add_first_ion_en,0.011,0.031,0.002,-0.003,-0.001,0.003,0.002,-0.017,0.045,-0.027
min_polzbl_add_mol_vol,-0.017,0.024,-0.02,-0.005,-0.006,-0.017,0.002,-0.021,0.031,-0.023
min_polzbl_add_mp,0.027,-0.003,-0.002,-0.02,-0.016,-0.001,0.006,-0.024,0.015,-0.0
min_polzbl_add_therm_cond,0.025,-0.007,-0.006,0.011,-0.009,-0.009,-0.014,-0.023,-0.006,-0.014
min_polzbl_add_voro_coord,0.025,0.046,0.004,-0.015,0.008,0.025,-0.023,0.003,0.026,0.008
min_polzbl_divi_atom_mass,0.004,-0.016,-0.026,-0.019,-0.017,0.034,0.009,0.024,0.01,-0.006
min_polzbl_divi_atom_rad,0.013,0.02,-0.005,-0.003,-0.026,-0.002,-0.035,0.014,0.032,-0.017
min_polzbl_divi_bp,-0.016,0.032,-0.019,0.011,-0.013,-0.007,-0.006,-0.007,0.025,-0.013
min_polzbl_divi_first_ion_en,0.005,0.037,-0.009,0.002,-0.017,0.007,-0.033,0.03,0.024,-0.007
min_polzbl_divi_hfus,-0.005,0.031,-0.009,0.005,-0.003,0.016,-0.022,0.03,0.011,0.01
min_polzbl_divi_mol_vol,0.023,0.028,0.008,-0.008,-0.016,0.014,-0.047,0.002,0.002,-0.007
min_polzbl_divi_mp,-0.018,0.012,0.001,0.014,-0.018,0.003,-0.018,0.02,0.027,0.03
min_polzbl_divi_therm_cond,-0.022,0.02,-0.001,0.013,-0.01,-0.011,0.008,-0.003,0.013,-0.006
min_polzbl_divi_voro_coord,-0.028,-0.007,-0.003,0.004,-0.031,-0.02,-0.008,-0.004,0.015,-0.019
min_polzbl_mult_X,0.006,0.008,0.017,0.005,0.008,0.007,-0.024,-0.005,0.004,-0.045
min_polzbl_mult_atom_mass,-0.0,0.04,0.013,-0.0,0.012,-0.009,0.005,0.01,0.051,0.014
min_polzbl_mult_atom_rad,0.006,0.055,-0.009,0.002,0.002,0.007,-0.013,0.017,0.041,0.003
min_polzbl_mult_bp,0.027,0.027,0.004,-0.021,0.0,0.014,-0.022,0.024,0.045,0.024
min_polzbl_mult_elec_aff,0.006,0.022,-0.012,-0.038,0.015,-0.006,0.004,-0.026,-0.017,0.01
min_polzbl_mult_first_ion_en,0.012,0.04,0.003,0.001,-0.01,-0.015,-0.012,-0.015,0.048,-0.004
min_polzbl_mult_mol_vol,-0.017,0.029,-0.025,-0.003,-0.006,-0.018,-0.001,-0.012,0.035,-0.009
min_polzbl_mult_mp,0.029,0.015,0.006,-0.018,-0.022,-0.01,-0.016,-0.006,0.037,0.033
min_polzbl_mult_therm_cond,0.023,-0.016,0.01,0.012,-0.036,-0.017,-0.032,-0.023,-0.012,-0.034
min_polzbl_mult_voro_coord,0.026,0.044,0.007,0.0,-0.009,0.032,0.0,0.001,0.006,0.017
min_polzbl_subs_X,0.008,0.045,-0.01,0.002,-0.016,-0.0,-0.032,0.023,0.034,-0.001
min_polzbl_subs_atom_mass,0.004,-0.005,-0.036,0.019,-0.033,0.012,-0.006,0.007,0.0,-0.016
min_polzbl_subs_atom_rad,0.01,0.043,-0.007,0.001,-0.016,-0.001,-0.032,0.02,0.039,-0.002
min_polzbl_subs_bp,-0.02,-0.009,-0.02,0.021,-0.012,0.022,-0.005,-0.012,0.014,0.02
min_polzbl_subs_elec_aff,0.005,0.046,-0.013,0.005,-0.016,0.006,-0.023,0.03,0.034,-0.006
min_polzbl_subs_first_ion_en,0.004,0.037,-0.012,0.002,-0.022,0.001,-0.041,0.039,0.019,0.014
min_polzbl_subs_hfus,0.008,0.046,-0.004,0.003,-0.01,0.002,-0.027,0.017,0.036,-0.006
min_polzbl_subs_mol_vol,0.024,0.016,0.006,-0.014,-0.013,0.015,-0.051,0.005,-0.012,-0.001
min_polzbl_subs_mp,-0.032,-0.014,-0.008,0.005,0.015,0.032,-0.006,-0.027,0.002,0.013
min_polzbl_subs_therm_cond,-0.025,0.012,0.016,0.013,0.008,0.005,0.014,-0.008,-0.003,-0.007
min_polzbl_subs_voro_coord,-0.03,-0.013,-0.009,0.003,-0.034,-0.027,-0.009,0.002,0.019,0.001
min_row,-0.0,0.035,0.019,0.002,0.012,-0.001,0.01,-0.006,0.038,-0.018
min_therm_cond,0.025,-0.004,-0.012,0.017,0.003,-0.008,-0.003,-0.015,0.001,-0.003
min_therm_cond_add_X,0.025,-0.004,-0.012,0.018,0.003,-0.008,-0.002,-0.015,0.002,-0.003
min_therm_cond_add_voro_coord,0.026,-0.002,-0.012,0.018,-0.004,-0.005,0.0,-0.019,-0.002,-0.002
min_therm_cond_divi_atom_mass,0.023,-0.004,-0.024,0.02,-0.014,-0.004,-0.006,-0.013,0.002,-0.027
min_therm_cond_divi_atom_rad,0.026,-0.002,-0.016,0.016,0.007,-0.006,-0.001,-0.015,0.001,0.0
min_therm_cond_divi_bp,0.022,-0.002,-0.016,0.025,0.001,-0.006,0.001,-0.009,0.007,-0.0
min_therm_cond_divi_first_ion_en,0.026,-0.0,-0.015,0.014,0.002,-0.003,0.004,-0.01,0.003,-0.006
min_therm_cond_divi_hfus,0.029,0.032,-0.036,-0.011,0.036,0.036,0.013,0.016,0.022,0.018
min_therm_cond_divi_mol_vol,0.025,-0.004,-0.019,0.018,-0.009,-0.013,-0.018,-0.026,-0.003,-0.013
min_therm_cond_divi_mp,0.023,0.006,-0.024,0.014,0.031,0.02,0.028,0.014,0.019,0.008
min_therm_cond_divi_polzbl,0.024,-0.004,-0.017,0.018,0.016,-0.005,-0.004,-0.018,-0.003,0.003
min_therm_cond_divi_voro_coord,0.016,-0.009,-0.018,0.001,0.035,-0.014,-0.014,0.012,0.036,-0.002
min_therm_cond_mult_X,0.024,-0.008,-0.01,0.019,0.009,-0.008,-0.008,-0.021,-0.006,-0.007
min_therm_cond_mult_voro_coord,0.027,-0.0,-0.011,0.016,-0.012,-0.004,-0.009,-0.023,0.003,0.008
min_therm_cond_subs_X,0.025,-0.004,-0.013,0.017,0.002,-0.009,-0.003,-0.015,0.001,-0.002
min_therm_cond_subs_atom_mass,0.02,-0.0,-0.032,0.022,-0.011,0.0,-0.005,0.002,0.002,-0.005
min_therm_cond_subs_atom_rad,0.025,-0.004,-0.013,0.017,0.003,-0.008,-0.003,-0.015,0.001,-0.002
min_therm_cond_subs_bp,-0.018,-0.009,-0.021,0.023,-0.014,0.019,-0.008,-0.013,0.013,0.018
min_therm_cond_subs_elec_aff,0.025,-0.004,-0.013,0.017,0.002,-0.008,-0.003,-0.015,0.001,-0.003
min_therm_cond_subs_first_ion_en,0.025,-0.003,-0.014,0.016,0.002,-0.008,-0.003,-0.015,0.0,-0.002
min_therm_cond_subs_hfus,0.025,-0.004,-0.012,0.017,0.002,-0.008,-0.003,-0.015,0.001,-0.003
min_therm_cond_subs_mol_vol,0.026,-0.003,-0.016,0.017,0.004,-0.008,-0.003,-0.014,0.0,-0.001
min_therm_cond_subs_mp,-0.03,-0.012,-0.013,0.002,0.023,0.039,-0.001,-0.019,0.011,0.027
min_therm_cond_subs_polzbl,0.024,-0.005,-0.014,0.022,0.009,-0.009,-0.002,-0.01,0.003,0.003
min_therm_cond_subs_voro_coord,0.024,-0.006,-0.013,0.017,0.009,-0.011,-0.005,-0.011,0.005,-0.003
min_voro_coord,0.024,0.03,0.02,0.005,-0.014,0.031,-0.0,-0.016,-0.011,0.004
min_voro_coord_divi_atom_mass,0.021,-0.006,-0.015,0.018,-0.038,0.015,-0.001,-0.013,-0.008,-0.03
min_voro_coord_divi_atom_rad,0.029,0.028,0.006,0.002,-0.011,0.039,0.013,-0.018,-0.009,0.015
min_voro_coord_divi_bp,0.015,0.046,0.001,0.013,-0.007,0.041,0.033,-0.01,-0.001,0.023
min_voro_coord_divi_first_ion_en,0.026,0.043,0.004,-0.006,-0.001,0.047,0.008,0.003,-0.005,0.004
min_voro_coord_divi_hfus,0.011,0.047,-0.004,-0.002,0.016,0.052,0.002,0.023,-0.003,0.009
min_voro_coord_divi_mol_vol,0.032,0.038,-0.011,-0.004,0.003,0.025,-0.021,-0.029,-0.003,0.036
min_voro_coord_divi_mp,0.001,0.03,0.017,0.023,-0.002,0.049,0.036,0.015,0.008,0.033
min_voro_coord_divi_polzbl,0.023,0.005,-0.006,0.033,-0.002,0.003,-0.002,-0.031,-0.005,0.017
min_voro_coord_divi_therm_cond,-0.012,0.031,0.015,0.015,0.002,0.015,0.032,-0.002,0.012,0.008
min_voro_coord_subs_X,0.025,0.033,0.015,0.001,-0.01,0.036,0.005,-0.011,-0.011,0.009
min_voro_coord_subs_atom_mass,0.009,-0.003,-0.036,0.023,-0.026,0.012,-0.003,0.005,0.0,-0.011
min_voro_coord_subs_atom_rad,0.024,0.027,0.02,0.008,-0.018,0.033,0.007,-0.015,-0.015,0.01
min_voro_coord_subs_bp,-0.02,-0.009,-0.02,0.021,-0.011,0.022,-0.004,-0.012,0.014,0.02
min_voro_coord_subs_elec_aff,0.024,0.036,0.013,0.003,-0.01,0.037,0.004,-0.009,-0.01,0.007
min_voro_coord_subs_first_ion_en,0.025,0.04,0.006,-0.005,-0.002,0.041,-0.001,0.004,-0.013,0.01
min_voro_coord_subs_hfus,0.023,0.031,0.02,0.007,-0.014,0.033,0.003,-0.014,-0.012,0.006
min_voro_coord_subs_mol_vol,0.028,0.017,-0.009,0.004,-0.007,0.028,-0.003,-0.018,-0.028,0.02
min_voro_coord_subs_mp,-0.032,-0.014,-0.008,0.006,0.016,0.033,-0.006,-0.027,0.003,0.014
min_voro_coord_subs_polzbl,0.017,-0.004,-0.008,0.039,0.004,-0.002,0.004,-0.008,-0.009,0.017
min_voro_coord_subs_therm_cond,-0.024,0.013,0.018,0.014,0.009,0.006,0.013,-0.009,-0.005,-0.008
mode_C-0,0.026,0.007,-0.01,0.017,0.003,0.001,-0.009,-0.032,-0.0,0.009
mode_C-1,0.027,0.015,-0.014,0.011,0.007,0.0,-0.022,-0.036,0.006,0.032
mode_C-10,0.021,-0.001,-0.008,-0.028,0.01,0.03,-0.02,0.018,-0.014,-0.005
mode_C-11,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-12,0.029,0.019,-0.02,0.007,0.015,0.006,-0.018,-0.029,0.009,0.034
mode_C-13,0.026,0.011,-0.009,0.012,0.005,-0.004,-0.029,-0.039,0.003,0.021
mode_C-14,0.029,0.01,-0.015,0.008,0.003,0.004,-0.02,-0.032,-0.003,0.006
mode_C-15,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-16,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-17,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-18,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-19,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-2,0.029,0.019,-0.02,0.007,0.015,0.006,-0.018,-0.029,0.009,0.034
mode_C-20,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-21,0.025,-0.003,-0.008,0.015,-0.003,0.007,0.016,-0.011,0.008,0.006
mode_C-22,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-23,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-24,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-25,0.021,-0.001,-0.008,-0.028,0.01,0.03,-0.02,0.018,-0.014,-0.005
mode_C-26,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-27,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-28,0.025,-0.002,-0.011,0.013,0.004,0.013,0.021,-0.005,0.011,0.008
mode_C-29,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-3,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-30,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-31,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-32,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-33,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-34,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-35,0.025,-0.003,-0.009,0.014,0.001,0.011,0.019,-0.007,0.01,0.007
mode_C-4,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-5,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_C-6,0.027,0.015,-0.014,0.011,0.007,0.0,-0.022,-0.036,0.006,0.032
mode_C-7,0.027,0.011,-0.014,0.015,0.009,0.007,-0.003,-0.026,0.002,0.011
mode_C-8,0.026,0.011,-0.009,0.012,0.005,-0.004,-0.029,-0.039,0.003,0.021
mode_C-9,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mode_GV,0.025,-0.0,-0.012,0.015,-0.001,0.011,0.017,-0.011,0.006,0.001
mode_KV,0.027,0.012,-0.013,0.012,0.007,0.001,-0.02,-0.036,0.001,0.018
mode_X,0.011,-0.022,0.012,0.025,0.027,0.012,0.003,-0.011,-0.008,-0.045
mode_X_add_voro_coord,0.023,0.028,0.021,0.01,-0.017,0.034,0.011,-0.018,-0.011,0.005
mode_X_mult_voro_coord,0.019,0.014,0.016,0.014,0.001,0.038,0.014,-0.027,-0.022,-0.007
mode_X_subs_atom_mass,0.008,-0.005,-0.036,0.023,-0.023,0.011,-0.005,0.007,0.003,-0.012
mode_X_subs_atom_rad,0.012,-0.022,0.004,0.029,0.03,0.004,0.005,-0.0,-0.01,-0.014
mode_X_subs_bp,-0.02,-0.009,-0.02,0.021,-0.012,0.021,-0.005,-0.012,0.014,0.02
mode_X_subs_elec_aff,-0.001,0.0,-0.003,0.01,0.017,0.03,0.014,0.019,-0.003,-0.059
mode_X_subs_first_ion_en,-0.002,0.007,-0.0,0.001,-0.029,0.015,-0.036,0.037,-0.006,-0.008
mode_X_subs_hfus,0.006,-0.02,0.017,0.023,0.036,0.017,-0.002,-0.01,-0.007,-0.041
mode_X_subs_mol_vol,0.026,0.006,-0.027,0.012,0.023,0.001,-0.012,-0.013,-0.012,-0.01
mode_X_subs_mp,-0.032,-0.014,-0.008,0.006,0.016,0.033,-0.007,-0.027,0.003,0.013
mode_X_subs_polzbl,0.014,-0.01,-0.012,0.03,0.025,-0.007,-0.004,0.003,-0.001,0.006
mode_X_subs_therm_cond,-0.026,0.011,0.017,0.013,0.007,0.005,0.013,-0.01,-0.006,-0.009
mode_X_subs_voro_coord,-0.012,-0.022,-0.009,-0.004,0.041,-0.009,-0.022,0.015,0.027,-0.019
mode_Z,-0.006,0.029,0.022,0.005,0.007,-0.014,0.004,-0.008,0.032,-0.013
mode_atom_mass,-0.007,0.028,0.022,0.005,0.007,-0.016,0.005,-0.008,0.032,-0.012
mode_atom_mass_add_X,-0.007,0.028,0.022,0.005,0.007,-0.016,0.005,-0.009,0.032,-0.013
mode_atom_mass_add_atom_rad,-0.006,0.028,0.022,0.005,0.007,-0.016,0.005,-0.008,0.032,-0.012
mode_atom_mass_add_therm_cond,0.009,-0.003,0.021,-0.011,0.0,-0.016,-0.007,-0.034,0.003,-0.031
mode_atom_mass_add_voro_coord,-0.005,0.029,0.023,0.006,0.007,-0.014,0.004,-0.008,0.032,-0.012
mode_atom_mass_divi_atom_rad,-0.009,0.022,0.027,0.008,0.004,-0.017,0.005,-0.006,0.031,-0.019
mode_atom_mass_divi_bp,-0.012,0.03,0.008,0.007,0.01,-0.01,0.014,-0.007,0.039,0.005
mode_atom_mass_divi_first_ion_en,-0.007,0.03,0.023,0.005,0.011,-0.008,0.002,0.004,0.038,-0.002
mode_atom_mass_divi_hfus,-0.011,0.029,0.013,0.011,0.007,0.004,-0.017,0.013,0.022,0.01
mode_atom_mass_divi_mol_vol,0.001,0.022,0.036,0.011,0.006,-0.0,-0.017,-0.014,0.011,-0.015
mode_atom_mass_divi_mp,-0.024,0.009,0.021,0.017,0.007,-0.009,-0.013,-0.014,0.027,0.004
mode_atom_mass_divi_polzbl,-0.004,-0.008,0.028,0.02,0.04,0.001,0.012,0.005,0.006,-0.023
mode_atom_mass_divi_therm_cond,-0.013,0.037,-0.012,-0.004,0.007,-0.011,0.032,-0.01,0.016,-0.01
mode_atom_mass_divi_voro_coord,-0.02,0.003,0.021,0.003,0.012,-0.026,-0.003,-0.012,0.011,-0.055
mode_atom_mass_mult_X,-0.009,0.001,0.038,0.014,0.016,-0.008,-0.004,-0.012,0.001,-0.056
mode_atom_mass_mult_atom_rad,-0.005,0.031,0.019,0.004,0.009,-0.015,0.004,-0.009,0.032,-0.007
mode_atom_mass_mult_therm_cond,0.013,-0.016,0.031,0.024,-0.004,-0.01,0.004,-0.003,0.016,-0.011
mode_atom_mass_mult_voro_coord,0.009,0.024,0.036,0.012,-0.009,0.009,0.014,0.0,0.019,0.01
mode_atom_mass_subs_X,-0.007,0.028,0.022,0.005,0.007,-0.016,0.005,-0.008,0.032,-0.012
mode_atom_mass_subs_atom_rad,-0.007,0.028,0.022,0.005,0.007,-0.016,0.005,-0.008,0.032,-0.012
mode_atom_mass_subs_bp,-0.021,-0.007,-0.02,0.019,-0.007,0.023,-0.003,-0.011,0.019,0.025
mode_atom_mass_subs_elec_aff,-0.007,0.028,0.022,0.005,0.007,-0.016,0.004,-0.008,0.032,-0.012
mode_atom_mass_subs_first_ion_en,-0.007,0.028,0.023,0.006,0.006,-0.017,0.003,-0.008,0.032,-0.011
mode_atom_mass_subs_hfus,-0.007,0.028,0.022,0.005,0.007,-0.016,0.004,-0.008,0.032,-0.012
mode_atom_mass_subs_mol_vol,-0.006,0.027,0.026,0.007,0.006,-0.015,0.002,-0.007,0.031,-0.01
mode_atom_mass_subs_mp,-0.033,-0.013,-0.004,0.006,0.018,0.029,-0.008,-0.029,0.003,0.013
mode_atom_mass_subs_polzbl,-0.008,0.025,0.023,0.007,0.005,-0.018,0.004,-0.01,0.029,-0.015
mode_atom_mass_subs_therm_cond,-0.016,0.025,0.021,0.009,0.012,-0.008,0.01,-0.007,0.012,-0.008
mode_atom_mass_subs_voro_coord,-0.008,0.026,0.021,0.005,0.006,-0.018,0.005,-0.009,0.032,-0.013
mode_atom_rad,0.002,0.042,-0.0,-0.001,0.015,0.018,0.013,-0.014,0.028,-0.037
mode_atom_rad_add_X,0.004,-0.014,0.022,0.01,0.022,0.02,0.001,-0.021,-0.003,-0.072
mode_atom_rad_add_therm_cond,0.025,-0.004,-0.012,0.017,0.002,-0.008,-0.003,-0.016,0.001,-0.003
mode_atom_rad_add_voro_coord,0.024,0.032,0.018,0.004,-0.011,0.034,0.006,-0.014,-0.008,0.004
mode_atom_rad_divi_atom_mass,0.009,-0.012,-0.022,0.02,-0.037,0.011,-0.003,-0.004,0.009,-0.047
mode_atom_rad_divi_bp,-0.019,0.02,-0.01,0.014,-0.005,0.014,0.007,-0.011,0.039,0.008
mode_atom_rad_divi_first_ion_en,-0.001,0.04,-0.006,0.002,0.002,0.027,-0.005,0.019,0.024,-0.025
mode_atom_rad_divi_hfus,-0.01,0.027,0.005,0.012,-0.002,0.018,-0.017,0.021,0.012,0.017
mode_atom_rad_divi_mol_vol,0.029,0.035,-0.023,-0.017,0.026,0.024,-0.029,-0.028,0.01,-0.011
mode_atom_rad_divi_mp,-0.027,0.003,0.003,0.015,0.001,0.009,-0.013,-0.027,0.02,-0.002
mode_atom_rad_divi_polzbl,0.014,-0.014,-0.0,0.031,0.029,0.005,0.008,-0.006,0.007,-0.003
mode_atom_rad_divi_therm_cond,-0.019,0.028,-0.011,0.003,-0.001,-0.006,0.024,-0.008,0.01,-0.012
mode_atom_rad_divi_voro_coord,-0.022,-0.011,-0.011,-0.015,0.026,0.002,-0.003,-0.004,0.029,-0.047
mode_atom_rad_mult_X,0.001,-0.019,0.025,0.015,0.025,0.014,-0.008,-0.018,-0.016,-0.064
mode_atom_rad_mult_therm_cond,0.024,-0.006,-0.007,0.019,-0.004,-0.009,-0.004,-0.016,0.003,-0.008
mode_atom_rad_mult_voro_coord,0.023,0.039,0.013,0.002,-0.004,0.038,0.012,-0.009,-0.005,0.01
mode_atom_rad_subs_X,-0.017,0.022,-0.02,0.007,-0.004,0.03,0.011,0.015,-0.003,-0.01
mode_atom_rad_subs_atom_mass,0.007,-0.004,-0.036,0.022,-0.024,0.011,-0.005,0.007,0.003,-0.012
mode_atom_rad_subs_bp,-0.02,-0.009,-0.02,0.021,-0.012,0.021,-0.005,-0.012,0.014,0.02
mode_atom_rad_subs_elec_aff,-0.012,0.031,-0.018,0.013,-0.019,0.014,-0.003,0.031,0.001,-0.022
mode_atom_rad_subs_first_ion_en,-0.004,0.018,-0.009,0.003,-0.026,0.016,-0.033,0.039,-0.002,-0.005
mode_atom_rad_subs_hfus,-0.005,0.043,0.007,0.01,0.015,0.018,0.0,-0.002,0.014,-0.018
mode_atom_rad_subs_mol_vol,0.029,0.012,-0.032,0.007,0.022,0.001,-0.013,-0.014,-0.012,-0.009
mode_atom_rad_subs_mp,-0.032,-0.014,-0.008,0.006,0.016,0.033,-0.007,-0.027,0.003,0.013
mode_atom_rad_subs_polzbl,0.014,-0.009,-0.013,0.03,0.025,-0.008,-0.004,0.003,0.0,0.007
mode_atom_rad_subs_therm_cond,-0.026,0.011,0.017,0.013,0.008,0.005,0.013,-0.01,-0.005,-0.009
mode_atom_rad_subs_voro_coord,-0.021,-0.026,-0.005,-0.002,0.023,-0.016,-0.023,0.011,0.027,-0.016
mode_avg_ion_rad,-0.003,0.039,0.007,0.0,0.025,0.022,0.018,-0.007,0.026,-0.028
mode_block,0.022,0.021,0.024,-0.006,-0.01,0.009,-0.035,-0.026,0.008,-0.016
mode_bp,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.009,0.001,0.025,-0.016
mode_bp_add_X,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.009,0.001,0.025,-0.016
mode_bp_add_atom_mass,0.017,-0.025,0.029,-0.013,-0.002,0.022,-0.01,-0.001,0.024,-0.021
mode_bp_add_atom_rad,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.009,0.001,0.025,-0.016
mode_bp_add_mp,0.021,-0.022,0.02,-0.015,-0.009,0.016,-0.007,-0.012,0.027,-0.005
mode_bp_add_therm_cond,0.018,-0.024,0.024,-0.015,0.002,0.025,-0.006,0.002,0.027,-0.013
mode_bp_add_voro_coord,0.017,-0.025,0.027,-0.014,-0.001,0.024,-0.009,0.001,0.025,-0.017
mode_bp_divi_atom_mass,0.019,-0.013,-0.016,0.013,-0.022,0.011,-0.002,0.003,0.014,-0.035
mode_bp_divi_atom_rad,0.021,-0.02,0.014,-0.007,0.01,0.019,0.001,0.006,0.023,-0.012
mode_bp_divi_first_ion_en,0.021,-0.001,0.009,-0.023,0.007,0.033,-0.013,0.019,0.019,-0.016
mode_bp_divi_hfus,0.001,0.023,0.015,0.005,-0.0,0.018,-0.041,0.012,-0.006,-0.005
mode_bp_divi_mol_vol,0.029,0.004,-0.008,-0.005,0.011,0.009,-0.029,-0.021,0.013,0.007
mode_bp_divi_mp,-0.013,-0.015,0.021,-0.003,0.019,0.023,-0.003,-0.013,0.012,-0.037
mode_bp_divi_polzbl,0.021,-0.009,-0.009,0.018,0.03,0.003,0.009,-0.005,0.005,-0.004
mode_bp_divi_therm_cond,-0.023,0.008,0.021,0.014,-0.008,-0.008,0.01,-0.006,-0.0,-0.027
mode_bp_divi_voro_coord,-0.001,-0.016,0.003,-0.025,0.046,0.007,0.016,0.027,0.049,-0.023
mode_bp_mult_X,0.017,-0.021,0.011,0.006,0.023,0.018,0.005,-0.006,0.005,-0.042
mode_bp_mult_atom_mass,-0.001,0.004,0.051,0.009,-0.004,-0.011,-0.005,0.004,0.039,-0.008
mode_bp_mult_atom_rad,0.021,0.001,0.029,-0.016,0.004,0.022,-0.015,-0.001,0.028,-0.014
mode_bp_mult_mp,0.024,-0.017,0.013,-0.015,-0.015,0.005,-0.003,-0.011,0.029,0.013
mode_bp_mult_therm_cond,0.025,-0.009,-0.003,0.016,-0.005,-0.014,-0.01,-0.019,0.001,-0.001
mode_bp_mult_voro_coord,0.021,0.006,0.037,0.009,-0.027,0.02,-0.015,-0.02,-0.013,-0.006
mode_bp_subs_X,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.009,0.001,0.025,-0.016
mode_bp_subs_atom_mass,0.018,-0.024,0.024,-0.015,0.002,0.025,-0.007,0.003,0.026,-0.012
mode_bp_subs_atom_rad,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.009,0.001,0.025,-0.016
mode_bp_subs_elec_aff,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.009,0.001,0.025,-0.016
mode_bp_subs_first_ion_en,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.009,0.001,0.025,-0.016
mode_bp_subs_hfus,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.009,0.001,0.025,-0.016
mode_bp_subs_mol_vol,0.017,-0.025,0.027,-0.014,-0.001,0.024,-0.009,0.001,0.025,-0.016
mode_bp_subs_mp,0.005,-0.025,0.031,-0.011,0.018,0.022,-0.012,0.013,0.013,-0.027
mode_bp_subs_polzbl,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.008,0.001,0.026,-0.016
mode_bp_subs_therm_cond,0.017,-0.025,0.029,-0.013,-0.002,0.023,-0.01,0.0,0.024,-0.019
mode_bp_subs_voro_coord,0.017,-0.025,0.027,-0.014,-0.0,0.024,-0.008,0.002,0.026,-0.016
mode_coulmn,-0.009,-0.012,0.003,0.015,0.003,-0.023,-0.027,-0.024,0.006,-0.009
