,Component_1 (24.982%),Component_2 (7.833%),Component_3 (3.916%),Component_4 (6.497%),Component_5 (2.502%),Component_6 (2.771%),Component_7 (1.387%),Component_8 (2.172%),Component_9 (1.739%),Component_10 (1.422%)
sum_bp,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_add_X,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_add_atom_mass,0.021,-0.009,0.03,-0.021,0.007,0.002,-0.002,0.007,0.009,-0.021
sum_bp_add_atom_rad,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_add_mp,0.028,-0.004,0.018,-0.019,-0.005,-0.006,0.001,0.003,0.009,-0.016
sum_bp_add_therm_cond,0.023,-0.011,0.026,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.02
sum_bp_add_voro_coord,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_divi_atom_mass,0.016,-0.025,-0.022,-0.006,-0.015,0.008,0.001,-0.001,-0.008,-0.014
sum_bp_divi_atom_rad,0.026,-0.021,0.015,-0.013,0.008,0.001,-0.0,0.007,0.004,-0.012
sum_bp_divi_first_ion_en,0.009,-0.003,0.025,-0.028,-0.002,0.016,-0.009,0.015,0.007,-0.025
sum_bp_divi_hfus,-0.015,0.011,0.01,-0.005,0.019,0.029,-0.046,-0.005,-0.005,-0.017
sum_bp_divi_mol_vol,0.036,0.002,0.008,0.002,0.008,0.008,-0.011,0.001,-0.005,-0.007
sum_bp_divi_mp,-0.02,-0.007,0.014,0.014,0.026,0.029,-0.022,0.028,0.003,-0.012
sum_bp_divi_polzbl,0.024,-0.023,0.006,0.001,0.032,0.01,0.013,-0.004,-0.009,-0.003
sum_bp_divi_therm_cond,-0.018,0.011,0.003,-0.031,-0.004,-0.002,-0.02,-0.012,-0.009,-0.025
sum_bp_divi_voro_coord,-0.005,-0.006,-0.021,-0.038,0.036,-0.027,-0.047,0.009,0.03,-0.023
sum_bp_mult_X,0.028,-0.01,0.022,-0.003,0.026,-0.001,-0.004,0.003,0.003,-0.012
sum_bp_mult_atom_mass,0.002,0.002,0.048,-0.015,0.018,-0.015,0.003,0.001,0.015,-0.002
sum_bp_mult_atom_rad,0.011,-0.0,0.034,-0.025,-0.0,0.005,-0.004,0.005,0.009,-0.026
sum_bp_mult_mp,0.03,-0.002,0.018,-0.014,-0.012,-0.02,0.0,0.008,0.014,0.001
sum_bp_mult_therm_cond,0.031,-0.008,-0.008,-0.004,-0.006,-0.014,-0.01,0.006,0.008,0.009
sum_bp_mult_voro_coord,0.026,0.014,0.033,0.001,-0.016,0.017,0.01,-0.005,-0.013,0.008
sum_bp_subs_X,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_subs_atom_mass,0.022,-0.012,0.026,-0.02,0.005,0.004,-0.003,0.008,0.007,-0.021
sum_bp_subs_atom_rad,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_subs_elec_aff,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
sum_bp_subs_first_ion_en,0.022,-0.011,0.028,-0.02,0.006,0.003,-0.003,0.007,0.008,-0.021
